[OBJECTS]
# type	x	y	animation_id
# type: 0 = SIMON , 1 = Brick , 2 = Torch
# SIMON
0	1320	20
# BRICK
1	32	75	498
1	32	107	498
1	32	139	498
1	32	171	498
1	32	203	498
1	32	235	498
1	32	267	498
1	32	299	498
1	32	331	498
1	32	363	498
1	64	395	498
1	96	395	498
1	256	267	498
1	288	267	498
1	256	299	498
1	288	299	498
1	320	395	498
1	352	395	498
1	384	395	498
1	416	395	498
1	448	395	498
1	480	395	498
1	512	395	498
1	544	395	498
1	576	395	498
1	608	395	498
1	448	267	498
1	480	267	498
1	704	395	498
1	736	395	498
1	832	331	498
1	864	331	498
1	896	395	498
1	928	395	498
1	960	299	498
1	992	299	498
1	960	427	498
1	992	427	498
1	1024	427	498
1	1056	427	498
1	1088	267	498
1	1120	267	498
1	1212	395	498
1	1244	395	498
1	1276	395	498
1	1308	395	498
1	1340	363	498
1	1372	363	498
1	1404	299	498
1	1436	299	498
1	1472	331	498
1	1472	203	498
1	1472	171	498
1	1472	139	498
1	1472	107	498
1	1472	75	498
# type 	x	y	type item

# --- SCENE PORTAL ----
# type	x	y	scene_id
50	1500	260	6
[CAMERA]
# XLeft	XRight
0	1025
[MAP]
# filePath	column	row	index	align
map/Map5.txt	48	12	3000	75
