[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = SIMON , 1 = Brick , 2 = Torch
# SIMON
0	100	20	0
# BRICK
1	0	203
1	32	203
1	64	203
1	96	203
1	128	203
1	160	203
1	192	203
1	256	267
1	288	267
1	320	267
1	352	267
1	384	267
1	416	267
1	448	267
1	480	267
1	512	267
1	544	267
1	576	267
1	0	395
1	32	395
1	64	395
1	96	395
1	128	395
1	160	395
1	192	395
1	224	395
1	256	395
1	288	395
1	320	395
1	352	395
1	384	395
1	416	395
1	448	395
1	480	395
1	512	395
1	544	395
1	576	395
1	608	395
1	640	395
1	672	395
1	704	395
1	736	395
1	768	395
1	800	395
1	832	395
1	864	395
1	896	395
1	928	395
1	960	395
1	992	395
1	1024	395
1	1056	395
1	1088	395
1	1120	395
1	1152	395
1	1184	395
1	1216	395
1	1248	395
1	1280	395
1	1312	395
1	1344	395
1	1376	395
1	1408	395
1	1440	395
1	1472	395
1	1504	395
1	1440	267
1	1472	267
1	1504	267
1	1344	331
1	-31	363
1	-31	299
1	-31	235
1	-31	171
1	-31	102

# type 	x	y	type item

# --- SCENE PORTAL ----
# type	x	y	scene_id

[MAP]
# filePath	column	row	index	align
map/Map6.txt	48	11	5000	75
