[OBJECTS]
# type	x	y	animation_id
# type: 0 = SIMON , 1 = Brick , 2 = Torch
# SIMON
0	300	30
# BRICK
1	0	77	497
1	0	109	497
1	0	141	497
1	32	141	497
1	64	172	497
1	96	172	497
1	128	172	497
1	160	172	497
1	192	172	497
1	224	172	497
1	256	172	497
1	288	172	497
1	32	204	497
1	32	236	497
1	0	236	497
1	352	236	497
1	384	236	497
1	416	236	497
1	448	77	497
1	448	108	497
1	448	140	497
1	448	172	497
1	448	204	497
1	448	236	497
1	448	268	497
1	448	300	497
1	448	332	497
1	0	362	497
1	32	362	497
1	64	362	497
1	96	362	497
1	128	362	497
1	160	362	497
1	192	362	497
1	224	362	497
1	256	362	497
1	288	362	497
1	320	362	497
1	352	362	497
1	384	362	497
1	416	362	497
1	448	362	497
1	480	362	497
1	-32	300	497
# type 	x	y	type item

# --- SCENE PORTAL ----
# type	x	y	scene_id
50	300	300	3
[CAMERA]
# XLeft	XRight
0	0
[MAP]
# filePath	column	row	index	align
map/Map2.txt	16	11	1000	10
