# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\texture_full.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# ==================SIMON====================
# idle left
10001	670	1	705	65	0
# walk left
10002	729	1	764	65	0
10003	793	1	828	65	0
10004	855	1	890	65	0
# jump & sit
10005	906	0	946	50	0
# stand attack
10011	960	1	1023	65	0
10012	1023	3	1079	65	0
10013	1079	3	1139	65	0
# sit attack
10014	1090	65	1140	114	0
10015	660	131	720	180	0
10016	720	131	780	180	0
# go up stair
10100	915	65	950	131	0
10101	975	65	1010	131	0
# go up attack
10110	973	131	1028	196	0
10111	1037	131	1079	196	0
10112	1085	131	1142	196	0
# go down stair
10102	787	65	826	131	0
10103	845	65	881	131	0
# go down attack
10120	785	131	840	196	0
10121	848	131	889	196	0
10122	900	131	954	196	0
# hurt
10104	670	70	705	131	0
#die
10200	591	30	657	65	0
# transition left
10400	670	201	706	265	0
10401	489	416	523	477	0
10402	533	416	567	477	0
10403	489	480	523	540	0
10404	533	480	567	540	0
#===================Platform===================
9995	340	281	404	298	0
#=======================BRICK===================
9996	324	735	356	767	0
9997	429	282	461	313	0
9998	580	608	612	640	0
9999	644	446	676	478	0
#===================TORCH======================
11000	183	198	215	265	0
11001	215	198	248	265	0
#==================Candle===================
11002	257	215	273	248	0
11003	273	215	289	248	0
#=====================WHIP====================
#level 1
12000	25	364	160	420	0
12001	186	364	320	420	0
12002	350	364	465	420	0
# level 2
12010	25	432	160	487	0
12011	186	432	320	487	0
12012	346	432	465	487	0
# level 3
12020	0	500	160	555	0
12021	160	500	320	555	0
12022	320	500	465	555	0
#==================AXE=========================
12030	203	321	235	353	0
12031	235	321	267	353	0
12032	267	321	292	353	0
12033	292	321	324	353	0
#===================HOLLYWATER===============
12040	49	325	70	348	0
#==================BOOMERANG=================
12050	340	321	368	352	0
12051	369	320	396	350	0
12052	398	322	425	351	0
#===================ITEM========================
# item whipUpgrade
13000	420	203	458	234	0
# item knife
13001	2	330	34	349	0
# item heart
13002	293	231	327	250	0
# item small heart
13003	293	205	310	221	0
# item money
#red
13004	353	238	386	270	0
# yellow
13005	356	205	386	235	0
# purple
13006	386	205	418	235	0
# blue
13007	386	238	418	270	0
# item clock
13008	424	240	459	275	0
# item cross
13009	468	202	502	236	0
# Ball Boss enemy
13010	587	244	614	272	0
13011	614	244	641	272	0
# item II
13012	550	240	579	269	0
# item hollywater
13013	508	238	545	276	0
# item III
13014	587	202	621	234	0
# item vase
13015	550	194	582	235	0
# item boomerang
13016	511	202	542	236	0
# =============EFFECT======================
#===================Fire after torch was stroke===========
13101	318	156	360	196	0
13102	271	156	318	196	0
13103	232	156	271	196	0
13104	215	156	242	196	0
#================ Hit Effect ===================
13120	191	169	214	202	0
13121	214	169	229	202	0
#=========== Number of money effect =============
# 100
13140	240	125	274	144	0
# 400
13141	313	124	345	145	0
# 700
13142	377	124	415	145	0
# 1000
13143	446	123	488	144	0
#============= effect holywater===========
13150	80	325	93	353	0
13151	94	325	111	353	0
13152	110	325	130	353	0
13153	130	325	164	353	0
13154	164	325	197	353	0
#============= effect break brick ==============
13160	199	122	220	143	0
#=====================ENEMY=====================
#======= zombie=========
30000	128	0	160	62	0
30001	160	0	192	62	0
#======= black knight===========
30002	210	0	243	64	0
30003	243	0	275	64	0
30004	275	0	307	64	0
#======= Bat==============
#======= bat idle=======
30005	0	0	32	32	0
#======= bat fly===============
30006	32	0	64	32	0
30007	64	0	96	32	0
30008	96	0	128	32	0
# ====== Ghost ===============
30009	8	50	41	85	0
30010	41	50	74	85	0
# ====== Hunch Back =============
30011	8	90	42	124	0
30012	41	90	74	124	0
# ====== Skeleton ==========
30013	6	132	40	199	0
30014	40	132	74	199	0
# ====== Raven ================
30015	95	76	130	110	0
30016	130	76	164	110	0
30017	166	76	198	110	0
30018	198	76	230	110	0
# ====== Bone Skeleton ======
30100	91	132	105	167	0
30101	107	136	140	165	0
30102	144	136	176	165	0
#=============HUD===============================
50000	0	560	551	636	0
# Number
60000	327	89	342	102	0
60001	342	89	357	102	0
60002	357	89	372	102	0
60003	372	89	387	102	0
60004	387	89	402	102	0
60005	402	89	417	102	0
60006	417	89	432	102	0
60007	432	89	447	102	0
60008	447	89	462	102	0
60009	462	89	477	102	0
60010	477	89	492	102	0
#blood
60011	277	77	289	96	0
60012	300	77	311	96	0
60013	289	77	300	96	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== SIMON ====================================================
# transition
399	10400	20	10401	20	10402	20	10403	20	10404	20
# idle left
400	10001	100
# walking left
401	10001	100	10002	100	10003	100	10004	100
# jump
402	10005	100
# sit
403	10005	100
# stand attack
404	10011	100	10012	100	10013	150
# sit attack
405	10014	100	10015	100	10016	150
# go up stair
406	10100	100	10101	100
#go down stair
407	10102	100	10103	100
#hurt
408	10104	100
# idle go up
409	10100	100
#idle go down
